x	y	point	species
781907.9968	7408001		
781924.9968	7408008		
781922.9968	7407993		
781922.9968	7407980		
781923.9968	7407959		
781943.9968	7407963		
781937.2661	7407963.193	AG167	Celtis iguanaea
781937.2661	7407963.193	AG167	Celtis iguanaea
781937.2661	7407963.193	AG167	Celtis iguanaea
781937.2661	7407963.193	AG167	Celtis iguanaea
781937.2661	7407963.193	AG167	Celtis iguanaea
781939.9968	7407957		
781957.9968	7407964		
781960.9968	7407958		
781982.9968	7407965		
781984.9968	7407963		
781981.9968	7407966		
781981.9968	7407962		
781987.9968	7407965		
781996.9968	7407955		
781995.9968	7407949		
782007.1508	7407927.054	AG168	Syagrus romanzoffiana
782007.1508	7407927.054	AG168	Syagrus romanzoffiana
782007.1508	7407927.054	AG168	Syagrus romanzoffiana
782005.9968	7407944		
782024.9968	7407968		
782027.9968	7407971		
782025.9968	7407960		
782027.9968	7407972		
782033.9968	7407980		
782057.9661	7407990.034	RG04	Myrocarpus frondosus
782067.9968	7407976		
782070.9968	7407956		
782065.9968	7407948		
782064.9968	7407961		
782004.9968	7407945		
781984.9968	7407934		
781961.9968	7407927		
781958.9968	7407920		
781969.8024	7407899.62	DG03	
781969.8024	7407899.62	DG03	
781968.1606	7407895.815		
781973.4671	7407858.637		
781982.7354	7407788.83		
781976.7918	7407766.332		
781966.3054	7407749.263		
781980.1948	7407754.664		
781978.1181	7407753.663		
781974.5337	7407698.121		
781987.2289	7407661.322	AG169	Syagrus romanzoffiana
781987.2289	7407661.322	AG169	Syagrus romanzoffiana
782010.4476	7407661.88		
782005.0402	7407658.872		
782016.9523	7407638.038		
782032.362	7407618.977		
782030.737	7407622.761		
782034.2832	7407607.383		
782033.3621	7407565.122	FG08	Cariniana estrelensis
782033.3621	7407565.122	FG08	Cariniana estrelensis
782051.6185	7407552.797		
782089.4635	7407551.598		
782084.3149	7407540.614		
782051.0167	7407494.096		
782055.3946	7407504.677		
782054.2369	7407515.401		
782049.6951	7407494.028		
782036.7465	7407475.519		
782030.1063	7407470.807		
782041.5087	7407440.832	AG170	Syagrus romanzoffiana
782041.5087	7407440.832	AG170	Syagrus romanzoffiana
782041.5087	7407440.832	AG170	Syagrus romanzoffiana
782031.7389	7407438.334		
782023.5324	7407445.394		
782024.9113	7407445.321		
782031.0294	7407443.365		
782027.7428	7407442.759	AG171	Pereskia aculeata
782017.7875	7407423.868		
782013.8155	7407430.893		
782011.6165	7407426.643		
782015.3184	7407429.684		
782011.6026	7407423.68		
781999.124	7407422.544		
782002.9721	7407416.209		
782008.0341	7407417.756	AG172	Syagrus romanzoffiana
782008.0341	7407417.756	AG172	Syagrus romanzoffiana
782006.8764	7407415.948		
